,Year (As On 31st March),National Highways : Length In Kms,National Highways : Length In Percentage,State Highways : Length In Kms,State Highways : Length In Percentage,Other PWD Roads : Length In Kms,Other PWD Roads : Length In Percentage,Panchayat Raj Roads : Length In Kms,Panchayat Raj Roads : Length In Percentage,JRY & PMGSY Roads : Length In Kms,JRY & PMGSY Roads : Length In Percentage,Urban Roads : Length In Kms,Urban Roads : Length In Percentage,Project Roads : Length In Kms,Project Roads : Length In Percentage,Surfaced : Length In Kms,Surfaced : Length In Percentage,Total : Length In Kms,Total : Length In Percentage
0,1951,19811.0,4.95,,0.0,173723.0,43.44,206408.0,51.61,0.0,0.0,0.0,0.0,0.0,0.0,157019.0,39.26,399942.0,100.0
1,1961,23798.0,4.54,,0.0,257125.0,49.02,197194.0,37.6,0.0,0.0,46361.0,8.84,0.0,0.0,263052.0,50.16,524478.0,100.0
2,1971,23838.0,2.61,56765.0,6.2,276833.0,30.26,354530.0,38.75,0.0,0.0,72120.0,7.88,130893.0,14.31,397948.0,43.49,914979.0,100.0
3,1981,31671.0,2.13,94359.0,6.35,421895.0,28.4,628865.0,42.34,0.0,0.0,123120.0,8.29,185511.0,12.49,683676.0,46.03,1485421.0,100.0
4,1991,33650.0,1.45,127311.0,5.47,509435.0,21.89,931288.0,40.01,329142.0,14.14,186799.0,8.03,209737.0,9.01,1090167.0,46.84,2327362.0,100.0
5,2001,57737.0,1.71,132100.0,3.92,736001.0,21.82,1068020.0,31.66,903996.0,26.8,252001.0,7.47,223665.0,6.63,1601745.0,47.48,3373520.0,100.0
6,2002,58112.0,1.7,137711.0,4.02,695335.0,20.29,1134326.0,33.1,926697.0,27.04,250295.0,7.3,224124.0,6.54,1661555.0,48.49,3426600.0,100.0
7,2003,58112.0,1.65,134807.0,3.82,696960.0,19.75,1155491.0,32.75,926697.0,26.26,297259.0,8.42,259328.0,7.35,1701258.0,48.21,3528654.0,100.0
8,2004,65569.0,1.81,133177.0,3.68,719257.0,19.86,1189058.0,32.83,951511.0,26.27,301310.0,8.32,261625.0,7.22,1760768.0,48.62,3621507.0,100.0
9,2005,65569.0,1.72,144396.0,3.79,786230.0,20.64,1299463.0,34.11,966976.0,25.39,286707.0,7.53,259815.0,6.82,1795298.0,47.13,3809156.0,100.0
10,2006,66590.0,1.72,148090.0,3.82,803669.0,20.71,1318258.0,33.97,989867.0,25.51,291991.0,7.52,262186.0,6.76,1858684.0,47.9,3880651.0,100.0
11,2007,66590.0,1.66,152235.0,3.79,835003.0,20.79,1372867.0,34.18,1020621.0,25.41,300580.0,7.48,268505.0,6.69,1944758.0,48.42,4016401.0,100.0
12,2008,66754.0,1.62,154522.0,3.76,863241.0,21.01,1388750.0,33.79,1061809.0,25.84,304327.0,7.41,270189.0,6.57,2036063.0,49.54,4109592.0,100.0
13,2009,70548.43,1.58,158497.37900000002,3.54,962879.9809999999,21.53,1514952.157,33.88,1114212.85,24.92,373801.976,8.36,276617.039,6.19,2324504.0,51.98,4471509.812,100.0
14,2010,70934.0,1.55,160177.0,3.5,977414.0,21.33,1518205.0,33.13,1174330.0,25.63,402448.0,8.78,278931.0,6.09,2432813.0,53.09,4582439.0,100.0
15,2011,70934.0,1.52,163898.0,3.5,998895.0,21.36,1530366.0,32.72,1219438.0,26.07,411679.0,8.8,281628.0,6.02,2524682.0,53.98,4676838.0,100.0
16,2012,76818.0,1.58,164360.0,3.38,1022287.0,21.01,1587787.0,32.63,1250433.0,25.7,464294.0,9.54,299415.0,6.15,2698590.0,55.46,4865394.0,100.0
17,2013,79116.0,1.51,169227.0,3.23,1066747.0,20.39,1725318.0,32.98,1434321.0,27.41,446238.0,8.53,310955.0,5.94,3171002.0,60.61,5231922.0,100.0
18,2014,91286.58,1.69,170818.135,3.16,1082267.0,20.03,1800747.0,33.33,1503581.0,27.83,457466.91,8.47,296319.0,5.48,3220502.49,59.61,5402485.625,100.0
19,2015,97991.12,1.79,167109.135,3.05,1101178.0,20.25,1831043.0,33.46,1506212.0,27.53,,,,,,,,
